RowNum	OrigBook	OrigRef	MatchedBook	MatchedRef	Score	SplitMethod	QuoteLen	Status
473	Ps	19:4	Ps	19:4	0.2308	annotation_marker	113	LOW_CONFIDENCE
474	Ps	19:6	Ps	32:6	0.5217	period	129	OK
475	Ps	19:7	Ps	32:7	0.2941	tilde	49	MARGINAL
476	Ps	19:13	Ps	32:13	0.5000	period	66	OK
477	Ps	19:14	Ps	32:14	0.6471	none	76	OK
478	Ps	19:15	Ps	19:15	0.1429	period	68	LOW_CONFIDENCE
479	Ps	19:17	Nm	6:8	0.3043	period	108	MARGINAL
480	Ps	19:19	Ps	32:19	0.3158	none	74	MARGINAL
481	Ps	19:20	Ps	32:20	0.4000	period	68	OK
482	Ps	19:1	Ps	19:1	0.2222	period	94	LOW_CONFIDENCE
483	Ps	19:3	Ps	33:3	0.2692	period	117	MARGINAL
484	Ps	19:4	Ps	3:5	0.4000	none	131	OK
485	Ps	19:6	Ps	33:6	0.4118	none	76	OK
486	Ps	19:7	Ps	19:7	0.2188	period	170	LOW_CONFIDENCE
487	Ps	19:8	Ps	33:8	0.3636	period	88	OK
488	Ps	19:13	Ps	33:13	0.3333	annotation_marker	64	MARGINAL
489	Ps	19:15	1Pt	3:12	0.2955	period	237	MARGINAL
490	Ps	19:38	Ps	33:18	0.3636	none	108	OK
491	Ps	19:39	Ps	33:19	0.5652	period	90	OK
492	Ps	19:43	Ps	32:18	0.3478	annotation_marker	72	MARGINAL
493	Ps	19:1	Ps	19:1	0.1957	period	299	LOW_CONFIDENCE
494	Ps	19:14	Ps	19:14	0.1887	period	282	LOW_CONFIDENCE
495	Ps	19:1	Ps	19:1	0.1250	annotation_marker	14	STRUCTURAL_GAP
496	Ps	19:3	Ps	34:3	0.3333	annotation_marker	78	MARGINAL
497	Ps	19:4	Ps	69:3	0.5455	annotation_marker	44	OK
498	Ps	19:7	Ps	140:9	0.2800	period	110	MARGINAL
499	Ps	19:8	Ps	34:8	0.4138	none	133	OK
500	Ps	19:9	Ps	34:9	0.3158	annotation_marker	60	MARGINAL
501	Ps	19:12	Ps	34:11	0.4375	period	64	OK
502	Ps	19:13	Ps	19:13	0.2000	annotation_marker	26	LOW_CONFIDENCE
503	Ps	19:14	Ps	34:14	0.4545	period	88	OK
504	Ps	19:16	Ps	34:16	0.5500	none	127	OK
505	Ps	19:17	Ps	19:17	0.2340	annotation_marker	270	LOW_CONFIDENCE
506	Ps	19:19	Ps	34:19	0.3333	annotation_marker	62	MARGINAL
507	Ps	19:27	Ps	34:27	0.4194	period	131	OK
508	Ps	19:1	1Sm	15:10	0.2667	period	60	MARGINAL
509	Ps	19:2	Rom	3:18	0.3125	period	55	MARGINAL
510	Ps	19:3	Ps	35:3	0.4375	period	43	OK
511	Ps	19:4	Ps	19:4	0.1667	period	46	LOW_CONFIDENCE
512	Ps	19:5	Ps	35:5	0.3333	period	118	MARGINAL
