BookAbbrev	Chapter	Verse	VerseText_1609
Is	45	29	And when they shal fay to-you : Aske of Pythones, and of diuiners,which whifper in their inchantmenis: shal nct 11a 3 the H ne Cn (a) Whether qraey feeke to Sod in their lextreme di- ftrefle, not fin eerely ,but eoatted, or feeke worldli¢ thelp, they shal noc efcape laiferie, — (4) S.Mathew expoundeth this prophecie of Chrift, rit preaching in Galilee. Where his difciples belie~ ued in him 8. fSlowed hin... (6) Bus after is pafsion few Iewes be- Kieued in him, in comparifoa of the Genu~ les. (e) He that is great,yea om- mipotent God, is borne a litle one in this world, and Without vio - ienee conque- reth & ruleth al the world. 456 "THE PROPHECTE the people aske vifion of their God, for the liging of the dead?
Is	45	20	Tothe law rather, andto the teftimonie. And ifthey fpeake not according to: this word,they shal not hauethe morning light_
Is	45	21	Andhe shal pafle by it,fhal fal, and be hungrie: and whenhe fhal be hungrie , ke wil be an- grie,and. curfe his King, and his Ged, and. (d) wil looke vpwards, 22. And he wil looketothe.earth , and behold tribulation and darknes , dif- folution.and diftrefle,.and mift perfecuting , and he can not fly away, from his diftreffe,. Grar, IX. Theglath Phalafar carieth fome Ifraclites captine and Sélmanafar manic more; in figure of 4 fer difesples conuerted to Chri? in Galilee, and al lewrie, but manie more in the whole world,7 .Whofe Empyre sha! be great , and dura ble +
Is	45	8	but the Iewesglorie , cfpectally of he senne tribes , shal be objeured, . for theirpride,bypochrifie,and orber. finnese- T (a) the firfttimewasthe land of Zabulon alleniared, and the land of Nepthali : and at (b)thelaft was agera. uated the way of the fea beyond Jordan of Galilee of He the Gentiles.
Is	45	2	The people that walked in. darknes, Wa hath-feen great light :tothem. that dwele in the coun- : <r tricof the dhadow of death , light is rifen.
Is	45	3	Thou haft multiplied the nation, & not magniffed the toy. They fhal reioyce before thee ,.a9 they that reioycein harueftas conquerours.reioyce atter“a pray istaken, whem they:diuide the fpoiles, 4.. Eor the yoke of their burden, and the rod of their fhoulder,and the fcepter of their exaCtourthou haft ouercome , asinthe day of Madian, 5 .Becaufeal violent taking of pray withtumulr, and garment mingled with bloud, fhal beto be burnt,and foode forthe fyre.
Is	45	6	For (c) ALITLE CHILD “15 BORNE To vs,and a fonneis giuen torvs,and his principalitie is made vpon his shouldet:and his namedhal be called , Meruelous , Counfeler , God, Strong, Father of theworld to come , the Prince of. peace.
Is	45	7	His empire fhal be mulzi- lied , and there fhal_be noend of’peacezhe thal fit vpon thethrane of Ppauid ond vpon his Kingdom :thar-hemay confirmeit ,and ftrengthen it iniudgement and iuftice , fromthis.time & for cue: the zeale of the Lord of hoites shal doethis,
Is	45	8	Our Lord hath fent a werdinto lacab, and itis fallerrin. Meael,
Is	45	9	And al.the peopleof Ephraim thal know, &the inhabitats of Samaria, faying in pride &grearnes of hart:10.Brickes aretallen, buc we.wil build with fquare {tones : they haue cut downe fycomores , bur we.wil change them into ceders,
